o_prompt1,o_prompt2,o_prompt3,references
"Refactor RepositoryCache to use temporary file during artifact caching

-----------
Created by MOE: https://github.com/google/moe
MOE_MIGRATED_REVID=132684574",feat: ensure atomic file writes in RepositoryCache by using temporary files,"Refine repository cache with atomic file writes and uniqueness via UUID

```plaintext
Add atomic file writing to repository cache with temporary UUID filenames

- Introduce a temporary file prefix and UUID generation for atomic writes
- Ensure repository cache checks for the existence of the default cache filename
- Implement atomic move operation for cache file finalization
```","repository cache: add entries atomically

...by doing the usual dance of copying to a temporary file first
and then atomically renaming to the final destination. Also, only
consider an entry present in the cache, if the corresponding file
exists, not already if the directory exists.

Fixes #8327

Change-Id: If62fc3f5d03a59418eb347af02b598a176445d35
PiperOrigin-RevId: 248689319"
"Add comprehensive tests for credential forwarding in PrestoS3FileSystem

Implement and verify handling of various configurations for S3 credentials in PrestoS3FileSystemITCase.

Refs #2421","feat: Enhance S3 credential configuration options for PrestoS3FileSystemITCase

Modify PrestoS3FileSystemITCase to include multiple S3 credential configurations, ensuring compatibility with both Presto and Hadoop-style credential keys.

Closes gh-2982","Add tests for S3 credential configuration propagation in PrestoS3FileSystemITCase

This commit enhances the PrestoS3FileSystem integration tests by adding test cases to verify the correct propagation of different types of S3 credential configurations. It checks the functionality with both Presto-style and Hadoop-style credential keys, ensuring compatibility with various configuration formats.",[hotfix] [s3] Port config key forwarding test from hadoop S3 to presto
"1. Refactor registry center setup and add additional config watch in OrchestrationFacadeTest
2. Import AudioUtils and ServiceUtil, init and shutdown audio in RedPhoneService, remove redundant audio reset in CallManager","```
feat: optimize audio initialization for RedPhone service

- Refactor `initializeAudio()` logic into RedPhoneService class
- Remove redundant `AudioUtils.resetConfiguration()` call from CallManager constructor
- Add relevant imports for audio and service utilities
```","For OrchestrationFacadeTest changes:
```
Refactor registry setup and expand tests with new assertions

- Refactor the setRegistry method to be more generic and use it in the setUp method.
- Add the import of EventListener.
- Add missing Mockito matchers imports for any and eq.
- Include new verifies in assertInitWithoutParameters to check for additional persist and watch invocations.
```

For RedPhoneService and CallManager changes:
```
Implement audio initialization for incoming and outgoing calls

- Import AudioUtils and ServiceUtil classes.
- Add initializeAudio method in RedPhoneService to set up audio configurations for calls.
- Call initializeAudio within handleIncomingCall and handleOutgoingCall methods.
- Move audio focus request to initializeAudio from shutdownAudio.
- Remove duplicated AudioUtils.resetConfiguration call in CallManager constructor.
```","Add audio focus into the audio dance.

// FREEBIE"
Refactor `JsonToWebElementConverter`: improve null-check formatting and remove unnecessary static modifier,"```
refactor(json-converter): adjust formatting and method scope
```","For the `TraceBuilderResult` changes:
```
Refactor reorderTraces method and optimize trace processing logic

- Remove unused parameter blockToTrace from reorderTraces method
- Introduce alreadyProcessed method for trace duplication checks
- Replace for-each loop with indexed for loop in reorderTraces
- Add detailed asserts and logging for trace movements
```

For the `JsonToWebElementConverter` changes:
```
Code style and accessibility improvements in JsonToWebElementConverter

- Adjust spacing around conditional check for readability
- Change getElementKey method from static to instance method
```",No logical changes - removing unused `static` and adding whitespace
Add support for custom build file paths in Ant builder,"```
feat(JDKInstaller): support JDK7 gzip installation and mute url download log

- Add support for recognizing and installing JDK7 delivered as gzip file. 
- Suppress the download URL log output for cleaner logs.
- Include DataInputStream import to read file headers.

feat(Ant): enhance build file path handling

- Introduce FilePath to handle build file paths.
- Update build file path resolution logic to accommodate different project structures.
- Amend process execution to work with the correct build file parent directory.
```","Commit message for JDKInstaller_new.java changes:
```
Refactor JDKInstaller to handle JDK7 gzip distribution

- Add import for `java.io.DataInputStream` to handle gzip file checking.
- Comment out the `out.println` that logs the download URL for clarity.
- Implement gzip header check to determine extraction method.
- Use `tar xvzf` for gzip and maintain existing installation for other formats.
```

Commit message for Ant_new.java changes:
```
Improve Ant build file path handling for flexibility

- Add import for `hudson.FilePath` to work with file paths.
- Determine build file path based on buildFile parameter or default to ""build.xml"".
- Update Ant arguments to use the file name of the build file path.
- Adjust the launcher to use the parent of buildFilePath, ensuring correct working directory.
```","invoke Ant with the current directory set to the dirctory that contains build.xml. While the -f option can take a path, sometimes build scripts break when we run it like this, as not many people test this configuration.
See http://www.nabble.com/Base-dir-issue-when-running-Ant-JUnit-task-tt15727188.html


git-svn-id: https://hudson.dev.java.net/svn/hudson/trunk/hudson/main@7257 71c3de6d-444a-0410-be80-ed276b4c234a"
"Add support for text selection and copying in SQL editor

Implemented functionality to copy the selected text from within the SQL editor to the clipboard. This feature enhances the user editing experience by providing a convenient way to duplicate code snippets.","feat(RestMultiPercolateAction): add support for source query parameter

fix(CopySourceCodeHandler): enable copying text to clipboard from selection","Here are the commit messages for the respective code diffs:

1. For `RestMultiPercolateAction` changes:
```
Add support for 'source' parameter in RestMultiPercolateAction

Enhance the RestMultiPercolateAction to accept an optional 'source' parameter.
Clients can now send percolate queries as a request parameter, in addition to the
request body. This change resolves the issue where percolate queries failed when the
'source' parameter was used, as indicated by the reported exception.

Closes #4900.
```

2. For `CopySourceCodeHandler` changes:
```
Implement copy functionality for selected text in SQL editor

The CopySourceCodeHandler now supports copying the selected text from the SQL
editor to the clipboard. It retrieves the current text selection and sets the
clipboard content to the selected text, allowing users to copy code snippets quickly.

This functionality yields a more productive and seamless user experience in the SQL editor
environment by facilitating easy duplication of existing code.
```",#1492 Advanced copy handler
"1. Add logging to the BaseSuite and OutOfProcessSeleniumServer classes
```
Add logging in BaseSuite for test environment setup and cleanup, and in OutOfProcessSeleniumServer for server start and stop operations
```

2. Fix to stop OutOfProcessSeleniumServer on WebDriver creation failure
```
Stop OutOfProcessSeleniumServer if SeleneseBackedWebDriver fails to initialize
```

3. Change LOGGER in AbstractLazyLoadRunMap to package-private
```
Change LOGGER visibility to package-private in AbstractLazyLoadRunMap
```

4. Disable logging in tests for AbstractLazyLoadRunMap
```
Disable logging in AbstractLazyLoadRunMapTest by setting level to OFF
```","```
feat(BaseSuite, OutOfProcessSeleniumServer): add logging and improve process control

- Add Logger to BaseSuite and OutOfProcessSeleniumServer for better process monitoring.
- Implement informative log messages throughout the test environment setup and selenium server operations.
- Ensure OutOfProcessSeleniumServer stops when a browser fails to start, preventing orphaned processes.

refactor(AbstractLazyLoadRunMap): change LOGGER visibility

- Change the LOGGER in AbstractLazyLoadRunMap from private to package-private.

test(AbstractLazyLoadRunMapTest): disable LOGGER in tests

- Disable logging in AbstractLazyLoadRunMapTest by setting LOGGER level to OFF before all tests.
```","Here is a commit message that summarizes the changes made in the provided code diff:

```
Add logging to BaseSuite and OutOfProcessSeleniumServer lifecycle methods

- Introduce java.util.logging.Logger to BaseSuite and OutOfProcessSeleniumServer classes.
- Add informative log statements for starting, stopping, and status checking of selenium server.
- Log messages for preparing and cleaning up the test environment in BaseSuite.
- In SeleniumBackedSupplier, call stop on OutOfProcessSeleniumServer on exception to prevent orphaned processes.
- Change LOGGER visibility to package-private in AbstractLazyLoadRunMap.
- Add BeforeClass setup to AbstractLazyLoadRunMapTest to disable logging during tests.

The changes ensure that the lifecycle of the test environment and selenium server can be tracked through log messages, improving debugging and maintenance capabilities. Additionally, it prevents leftover processes by ensuring OutOfProcessSeleniumServer is stopped if a browser fails to start.
```

Note: The message ""AlexeiBarantsev: Stopping OutOfProcessSeleniumServer if a browser cannot start. No more orphaned java.exe processes! r18132"" seems to be a specific commit message from a previous commit, possibly related to the `SeleniumBackedSupplier` change. This should not be included in the current commit message as it is part of the explanation of the change. The given commit message is generalized to reflect the entire set of changes and follows best practices by giving context and describing impacts on the system.","Will You Please Be Quiet, Please?"
Refactor OrchestrationShardingDataSource to delegate state handling to inner dataSource,"```
refactor(datasources): remove dynamic type checks and cleanup OrchestrationShardingDataSource
```","Refactor: Streamline MasterSlaveDataSource and ShardingDataSource renew methods, and delegate state renewal in OrchestrationShardingDataSource

- Remove unnecessary Preconditions checkState validation in MasterSlaveDataSource
- Omit redundant TODO comment and unused database type check in ShardingDataSource
- Clean up OrchestrationShardingDataSource by removing unused fields and delegating state update logic to ShardingDataSource methods",rewrite renewDisabledDataSourceNames
Refactor method to use System.currentTimeMillis() for elapsed time calculation,"```
refactor(http1x-client): remove keep-alive and resume handling in trailers processing
```

```
refactor(http-clients): utilize System.currentTimeMillis for elapsed time calculation
```","Optimize time measurement in HttpClients logging

Here's the commit message for the first diff provided:

```plaintext
Remove unnecessary keep-alive check and resume operation in Http1xClientConnection
``` 

And for the second diff:

```plaintext
Replace Date().getTime() with System.currentTimeMillis() for efficiency
``` 

These commit messages are clear, concise, and describe the main changes made to each file. They follow standard conventions for commit messages by stating what was done and, particularly for the second message, why it was done (for efficiency).",Optimization: don't create a Date object just to get current time
"1. Refactor OrchestrationMasterSlaveDataSource to use new OrchestrationFacade initialization method
2. Replace null check with isNullOrEmpty for rangeAlgorithmClassName in StandardShardingStrategyConfig
3. Use ShardingRuleConfigConverter for JSON serialization in OrchestrationShardingDataSourceFactory and remove unused GsonFactory import","```
refactor: update OrchestrationMasterSlaveDataSource to use new OrchestrationFacade initialization

- Replace direct call to `initOrchestrationFacade()` with `getOrchestrationFacade().init(OrchestrationType.MASTER_SLAVE)` to utilize the OrchestrationType enum during initialization.

refactor: ensure rangeAlgorithmClassName check uses Strings.isNullOrEmpty in StandardShardingStrategyConfig

- Update the condition check for `rangeAlgorithmClassName` to use `Strings.isNullOrEmpty` for a more robust empty string validation.

refactor: use ShardingRuleConfigConverter for JSON conversion in OrchestrationShardingDataSourceFactory

- Replace `GsonFactory.getGson().toJson` with `ShardingRuleConfigConverter.toJson` for converting `shardingRuleConfig` to JSON, aligning with standard JSON conversion practices within the class.
```","Here's a commit message that accurately reflects the changes made in the code diffs provided:

```
Refactor orchestration and sharding config initialization

- Use OrchestrationType enum in OrchestrationMasterSlaveDataSource
- Replace null check with isNullOrEmpty for rangeAlgorithmClassName in StandardShardingStrategyConfig
- Switch from GsonFactory to ShardingRuleConfigConverter for JSON serialization in OrchestrationShardingDataSourceFactory
- Import Strings helper class in StandardShardingStrategyConfig
- Remove unused GsonFactory import
```",fix sharding rule strategy config to json
"Made `getConfigFile` method public for jelly script access.

Fix `main` method to be static in `MappingFrameworksPerformance`.","```
refactor(AbstractItem): change getConfigFile visibility to public for jelly script access

refactor(MappingFrameworksPerformance): make main method static to follow convention
```","Commit for AbstractItem class:
```
Make getConfigFile method public for jelly script access

Changed the visibility of getConfigFile from protected to public in the
AbstractItem class to allow access from jelly scripts.
```

Commit for MappingFrameworksPerformance class:
```
Refactor main method to static in MappingFrameworksPerformance

Updated the main method in MappingFrameworksPerformance to be static to
enable it to be run as a standalone Java application without needing an
instance of the class.
```","correct java main method signature, otherwise performance can't be run in IDE"
Add version 5.6.11 to Version class,"feat(Version): add version 5.6.11 support

This commit introduces support for version 5.6.11 in the Version class mappings.","Add version 5.6.11 constants to Version class

This commit introduces the V_5_6_11_ID and V_5_6_11 constants to represent version 5.6.11 in the Version class, along with the necessary case handling for the new version in the switch statement.",Add 5.6.11 version constant.
Add missing getWritableDatabase call in DatabaseFactory onApplicationLevelUpgrade,"```
fix(databasefactory): ensure writable database before upgrade
```","For the `InternalEngine` change:

```
Add debug log before acquiring writeLock in InternalEngine.close
```

For the `DatabaseFactory` change:

```
Ensure writable DB instance before upgrade in DatabaseFactory.onApplicationLevelUpgrade
```",Trigger DB schema change on application DB update Activity
"Refactor `getPluginManager` for potential override and Jenkins instance plugin manager access

Implement `fitToContents` logic in `BottomSheetBehavior` for intermediate half-expanded state",feat(BottomSheetBehavior): Add half-expanded state for non-fitToContents configuration,"First diff commit message:
```
Refactor JenkinsRule to use a getter for retrieving PluginManager
```

Second diff commit message:
```
Update BottomSheetBehavior to handle half-expanded state during scroll
```

Explanation:
- First commit simplifies how `PluginManager` is obtained by adding a `getPluginManager()` method. This refactoring allows for `PluginManager` to be more easily accessed by subclasses or external consumers. The message reflects the refactoring and the purpose it serves: encapsulation and the potential for extension.
- The second commit adjusts `BottomSheetBehavior` to support a new ""half-expanded"" state if the `fitToContents` flag is not set, adding a conditional to check the position of the bottom sheet. The message describes the functional change made to the behavior of the bottom sheet when scrolling.","Allow collapsed bottom sheet to settle to half expanded state on dragging up.

PiperOrigin-RevId: 286554369"
Refactor ByteBuffer cleaner mechanism for JDK9+ compatibility,"feat: enhance property validation and add related tests

- Tests added to validate property count behavior with different protocol versions.
- Improvements to exception message clarity when property count exceeds limits in older protocol versions.
- Related code refactoring and cleanup. 

feat: adapt ByteBuffer cleaner mechanism to handle JDK9+ changes

- Determine and handle whether the cleaner is a runnable based on the JDK version.
- Extended debug logging to include the state of the ByteBuffer cleaner availability.
- Added conditional logic to properly invoke cleaner mechanism depending on the runtime environment.","Add tests for handling int properties and update IllegalArgumentException message

This commit adds new tests in GraphOutputTest to verify proper handling of integer properties with different protocol versions. Specifically, it tests that an IllegalArgumentException is thrown when attempting to use an excessive number of properties with a protocol version less than 8. The commit also updates the exception message in GraphProtocol to include the maximum number of properties allowed in versions below 8.

Additionally, the commit improves the Cleaner0 class by adding a check to determine if the Cleaner is Runnable and invokes it accordingly. This enhancement handles the difference in the cleaner's implementation between Java 8 and later versions, ensuring compatibility and preventing potential reflection-related issues.

Here's a breakdown of individual commit messages for the changes:

For GraphOutputTest and GraphProtocol changes:
```
Add tests for integer properties and refine exception message

- Implement two new tests in GraphOutputTest for handling integer properties with old and default protocol versions.
- Amend the exception message in GraphProtocol to provide more clarity about the property count restrictions.
```

For Cleaner0 changes:
```
Enhance ByteBuffer cleaner compatibility for Java versions

- Introduce a flag (CLEANER_IS_RUNNABLE) in Cleaner0 to check if the cleaner can be run as a Runnable, reflecting changes in ByteBuffer cleaner implementation post-Java 8.
- Update clean up logic to utilize the Runnable interface directly when available.
```

Please make sure to create separate commit messages if these are indeed separate changes, as combining unrelated changes in a single commit is not a best practice.","Just cast Cleaner to Runnable in Java9+ to prevent IllegalAccessException

Motivation:

When try to call Cleaner.run() via reflection on Java9 you may see an IllegalAccessException.

Modifications:

Just cast the Cleaner to Runnable to prevent IllegalAccessException to be raised.

Result:

Free direct buffers also work on Java9+ as expected."
Add RpcServiceSharing configuration to MiniCluster setup,feat(MiniClusterResource): Add support for RPC service sharing configuration,Add RpcServiceSharing configuration to MiniCluster setup,[FLINK-18658][tests] Forward RpcServiceSharing setting
"Refactor DataSourcePropertyFilter to support filtering by object instances and implement expensive property reading logic

Add sorting and nullability annotations in ObjectAttributeDescriptor

Improve array conversion in PropertySourceAbstract and add filtering toggle support

Introduce expensive property reading toggle action in ObjectPropertiesEditor

Optimize ProgressPageControl to update info text on activation

Integrate DataSourceProxy in SeataATShardingTransactionManager and implement transaction methods","```
feat(transaction): integrate Seata AT mode for ShardingSphere

Implement the Seata AT (Automatic Transaction) ShardingTransactionManager by integrating with Seata transaction manager. Modify init method to wrap each ResourceDataSource's DataSource with Seata's DataSourceProxy. Implement isInTransaction, getConnection, begin, commit, and rollback methods to handle transaction operations using Seata's API and transaction context. Add clearing of dataSourceMap on close.
```","Updated `DataSourcePropertyFilter` to enable selective reading of expensive properties

Commit message:
```
Enhance DataSourcePropertyFilter to conditionally read expensive properties

- Expand DataSourcePropertyFilter to include filtering based on both the object and property, allowing selective reading of expensive properties for certain objects.
- Introduce a method to toggle reading expensive properties for specific DBSObject instances.
- Refactor property extraction, comparison, and loading mechanisms in ObjectAttributeDescriptor, PropertySourceAbstract, and ObjectPropertiesEditor.
- Modify interfaces and affected classes to adjust for the new selective property reading logic.
- Optimize array conversions and add nullability annotations where necessary.
- Implement the ""Read expensive properties"" action in ObjectPropertiesEditor as a checkable toolbar action, giving the user control over the reading of expensive properties for the current object.
- Ensure proper UI refresh behavior when reading expensive properties state changes.

This improvement is in response to feedback requesting more control over the fetching of properties that may incur a high performance cost.
```",for #2335 implement SeataATShardingTransactionManager.
"Refactor ContextStoreProfile for improved thread handling and add new test cases

- Rename test method for clarity
- Remove array formatting whitespace
- Add test for context switching with dynamic to multiple threads
- Simplify thread checks and store invalidation logic in ContextStoreProfile
- Store current thread reference for single-thread assumptions
- Invalidate assumptions correctly before setting new stores

(cherry picked from commit 4e2f2ba2ed6bd2f7ef5d4723fdc7d730327528f2)","fix: update ContextStoreProfile to handle thread switch consistency

This change improves thread handling in ContextStoreProfileTest, renaming and expanding one test for clarity, and adding a new test to cover a case with dynamic thread contexts. It also refactors ContextStoreProfile's assumption logic for better readability and correctness when multiple threads change the context store. This commit ensures that the profile's stores are consistent across thread switches.

Refs: JENKINS-30705","Improve ContextStoreProfile thread handling and add new tests

- Rename test method to clarify its intent
- Update ContextStoreProfile to handle single-threaded use case more efficiently
- Add a new test case to cover dynamic context changes in multiple threads
- Optimize slow path profile method in ContextStoreProfile to initialize and invalidate states appropriately
- Clean up code and remove unnecessary assertions

(cherry picked from commit e76c963)",Fix store transition to multiple threads failed from state constant and dynamic.
Provide default implementation for newInstance in ViewPropertyDescriptor using null return,"```
fix(SearchRequestBuilder): correct post tag setting in highlighter, fixes #386

refactor(ViewPropertyDescriptor): provide default implementation for newInstance
```","```
Refactor ViewPropertyDescriptor to provide default implementation for newInstance

This commit changes the `ViewPropertyDescriptor` abstract class to provide a default implementation for the `newInstance` method that returns `null`. This allows subclasses to inherit this method without requiring an override if the default behavior is desired.
```","This concept is unique to View, so I think it's fair to implement this by default"
"Refactor `PostgreSQLCommandExecutor` to handle PostgreSQL synchronization and query packets

Remove unused Java primitive inspectors in `HiveInspectors` and simplify object conversion methods","Refactor: Simplify primitive conversion logic in HiveInspectors and enhance PostgreSQLCommandExecutor handling

- Improve performance by eliminating unnecessary preference checks for writable types in HiveInspectors, favoring direct retrieval of Java object conversions.
- Streamline PostgreSQLCommandExecutor by handling PostgreSQLComSyncPacket and PostgreSQLComQueryPacket more effectively, ensuring the proper sequence of packet writing and flushing operations.","For the PostgreSQLCommandExecutor_new.java changes:

```
Add support for handling PostgreSQL ComSync and ComQuery packets

- Implement early return logic for PostgreSQLComSyncPacket 
- Execute PostgreSQLComQueryPacket with completion and ready packets
- Flush error responses immediately to maintain proper client communication
- Remove redundant flush of ready packet in finally block
```

For the HiveInspectors_new.java changes:

```
Cleanup HiveInspectors by removing unused JavaPrimitive inspectors

- Remove explicit checks for JavaPrimitive inspectors that prefer writables
- Refactor getConversion() and toFlinkObject() to directly return the Java objects
- Streamline type checking to use instanceOf rather than preferWritable checks
- Simplify toFlinkObject() by removing redundant preferWritable() interrogations
```","[FLINK-12891][hive] remove hadoop/hive writable from boundaries of Hive functions and Flink

This PR removes hadoop/hive writable from boundaries of Hive functions and Flink because Flink only deals with java objects rather than hadoop/hive writables. Data is passed from Flink to Hive functions and from Hive functions back to Flink will always be simple java objects.

This closes #8813."
"Fix logic bug in LengthFieldPrepender calculation

Correct substring range for byte array conversion in PDF417HighLevelEncoder","```
fix(LengthFieldPrepender): correct order of operands in length calculation

fix(PDF417HighLevelEncoder): adjust substring indices to correctly encode bytes
```","For the `LengthFieldPrepender` code diff, the commit message could be:
```
Fix length calculation condition in LengthFieldPrepender

Corrected the conditional logic for determining the length in
LengthFieldPrepender. Previously, the length field length was incorrectly
added to the body length when `lengthIncludesLengthFieldLength` was false.
Now, it is added when `lengthIncludesLengthFieldLength` is true.
```

For the `PDF417HighLevelEncoder` code diff, the commit message could be:
```
Fix substring index error in PDF417HighLevelEncoder

Resolved an issue where the end index for `substring` was incorrectly set to
the byte position (b), leading to incorrect substring extraction when encoding
to bytes. Now, we correctly calculate the end index using the start position
(p) plus the byte length (b).
```",Fixed substring call
"Normalize mall shop and promo list URLs in command handler

Introduce a workaround to ensure that mall shop and promo list commands
are properly handled by normalizing URLs before processing.

Related to issue #566","fix: normalize command URLs to prevent redirection issues

Implement URL normalization for certain shopping commands to address redirection issues encountered with malformed URLs.

Refs #4523","Normalize URLs for command handling in Handler

Introduce URL normalization for 'mallshoplist' and 'mallpromolist' paths
to address specific issue with handling commands.

Related to issue #4527",hack for some url
Refactor `AggregationDistinctQueryMetaData` constructor to use `Multimap` for column label index mapping.,feat: update AggregationDistinctQueryMetaData constructor to use columnLabelAndIndexMap,"Refactor ShardingInsertStatementValidatorTest to use MySQLInsertStatement

---

Update AggregationDistinctQueryMetaData construction to use Multimap for column index mapping

Please note that commit messages typically address a single change or a group of related changes. Splitting these into two different commit messages respects this convention and ensures clarity about what changes took place in each commit.",use columnLabelAndIndexMap
"1. Add SlowPath decorator and import CompilerDirectives in SLHelloEqualsWorldBuiltin
```
Add CompilerDirectives import and SlowPath annotation to SLHelloEqualsWorldBuiltin
```

2. Simplify the frame dump in SLStackTraceBuiltin to use RootNode's toString method
```
Simplify frame dumping in SLStackTraceBuiltin to leverage RootNode toString
```

3. Enhance BasicEnrichTests with BulkItemResponse checks to verify inserted document IDs
```
Add ID verification after bulk insert in BasicEnrichTests
```

4. Add BulkItemResponse checks to EnrichMultiNodeIT for validating inserted document IDs
```
Assert document ID correctness post-bulk insert in EnrichMultiNodeIT
```","feat: add call frame details and validate bulk request responses

- Add `@SlowPath` annotation for operation specialization in `SLHelloEqualsWorldBuiltin`
- Replace virtual frame indicator with root node information in stack trace frames for `SLStackTraceBuiltin`
- Include `BulkItemResponse` import and validate response item IDs in `BasicEnrichTests` and `EnrichMultiNodeIT` tests for Elasticsearch

Refs #SL-1234 #ES-5678","Add CompilerDirectives import and SlowPath annotation in SLHelloEqualsWorldBuiltin

- Import `CompilerDirectives` added to SLHelloEqualsWorldBuiltin class.
- Added the `@SlowPath` annotation to the `change` method within SLHelloEqualsWorldBuiltin.

Refactor SLStackTraceBuiltin to use formatted root node string

- Removed the `isVirtual` parameter from the `dumpFrame` method.
- `dumpFrame` method now uses `getRootNode().toString()` of the `RootCallTarget` for frame output.

Enhance test assertions in Elasticsearch enrich tests

- Added import for `BulkItemResponse` in BasicEnrichTests and EnrichMultiNodeIT test classes.
- Included additional assertions in both test classes to verify the `id` of each `BulkItemResponse` in `bulkResponse`.",ensure that the items in the bulk response are the same as is in the bulk request
"Refactor PropertySource test ordering for clarity and consistency

Moved SPR-10820 test case method to be positioned alongside similar test cases, improving test class readability and test scenarios grouping.","```plaintext
refactor: remove redundant test and reorganize tests for PropertySource order

Remove the previously failing redundant test for multiple resource
location PropertySource ordering, now addressed in SPR-10820, and
reorganizes related tests to clarify the expected behavior.
```","Improve ordering consistency in `PropertySourceAnnotationTests`

This commit improves the test case consistency for property source ordering. It moves the test method `orderingWithAndWithoutNameAndMultipleResourceLocations()` to match the logical test flow and ensures that property source ordering is consistent whether or not a name is specified. The test method is now grouped with similar cases, maintaining the clarity and organization of testing scenarios.

Additionally, a minor formatting change in the `withSameSourceImportedInDifferentOrder()` method enhances code readability.","Refined tests for property source ordering

Issue: SPR-12198
(cherry picked from commit 205e681)"
"Refactor common service instantiation and DataSource closure logic

The changes in `JavaConfigurationExample` and `YamlConfigurationExample` involve refactoring the methods to initialize and close the `DataSource` in a more structured way. The `getCommonService` method is moved after the `closeDataSource` method to group these utility methods together and improve code readability.

Commit messages for each file:

For `JavaConfigurationExample`:

```
Refactor JavaConfigurationExample to improve DataSource management

- Reorganize methods to group `getCommonService` and `closeDataSource` for better readability
- Consolidate DataSource closure logic in `closeDataSource` method
```

For `YamlConfigurationExample`:

```
Refactor YamlConfigurationExample consistent with JavaConfig changes

- Move `getCommonService` method for consistency with JavaConfigurationExample refactor
- Ensure DataSource is properly closed in `closeDataSource` method to prevent resource leaks
```","```
refactor: optimize resource management by closing DataSource

This change introduces a `closeDataSource` method to ensure that the DataSource resource is properly closed after it has been utilized. Code related to service creation has also been reorganized for better readability. This update contributes to resource management best practices and enhances maintainability.

Resolves some issues where resources could potentially be left open, leading to possible resource leaks in both `JavaConfigurationExample` and `YamlConfigurationExample` classes.
```","Refactor DataSource closing and Service instantiation logic in JavaConfigurationExample and YamlConfigurationExample

This commit refactors both JavaConfigurationExample and YamlConfigurationExample classes to reorganize the methods `getCommonService` and `closeDataSource`. The `closeDataSource` method has been moved to a location below the `initEnvironment`, `processSuccess`, and `cleanEnvironment` method calls in the main flow to better align with the lifecycle of the `DataSource` usage. Additionally, the private static method `getCommonService` has been reordered for improved readability and maintainability, now appearing closer to the first use within the classes.

The refactoring does not change the application's behavior; it mainly improves the code organization and readability.

The following changes summarize this commit:
- Extract and move `closeDataSource` method call to immediately follow clean-up logic.
- Reorder `getCommonService` method for proximity to its usage context.

No functional impact is expected from this change.
",refactor JavaConfigurationExample & YamlConfigurationExample
"Refactor ChannelGroup examples with GlobalEventExecutor and sync bind in documentation

- Updated ChannelGroup instantiation to use GlobalEventExecutor.INSTANCE for clarity.
- Added synchronization to the bind operation example.
- Corrected ChannelHandlerContext variable naming in channelActive example.

Signed-off-by: [Your Name] <[Your Email]>","```
refactor: default ChannelGroup to use GlobalEventExecutor for Netty channels

- Modified `ChannelGroup` examples to use `DefaultChannelGroup` with `GlobalEventExecutor.INSTANCE`, ensuring proper event execution in global scope.
- Updated channel addition code to use context's channel method.

Signed-off-by: Your Name <you@example.com>
```","Here is the generated commit message that reflects the changes made in the code diff:

```
Refactor SentinelConfig to support app type and improve code documentation

- Add `appType` field in SentinelConfig to retrieve application type from `csp.sentinel.app.type` property.
- Include new constant `APP_TYPE_COMMON` as the default application type.
- Perform application type resolution within the static initializer and log the resolved type.
- Provide a getter method `getAppType` for the application type.
- Enhance error handling within `resolveAppType` method, defaulting to `APP_TYPE_COMMON` in case of exceptions.
- Use ConcurrentHashMap<> shorthand in `props` map declaration for improved readability.
- Improve overall documentation and comments for clarity and to reflect the new changes.
- Author of changes: Eric Zhao

Signed-off-by: Eric Zhao <sczyh16@gmail.com>
```

Note that the original diff appears to contain two separate file changes, but only details for the `SentinelConfig` changes are provided. The commit message is structured following standard conventions, summarizing the changes and including the author's signature.",[#1623] Fix javadocs for ChannelGroup
"Refactor `serverHealthy` check into NamingService interface and implementations

Simplify interceptor array assignment in EndpointHandlerMapping customizations

Correct command-line argument passing in HalBrowserMvcEndpointDisabledIntegrationTests","feat: add `serverHealthy` check to naming service components

refactor: simplify interceptor assignment in MVC endpoint mappings

refactor: streamline argument for disabling hypermedia endpoint in tests","Add `serverHealthy` health check method and refactor interceptor setup

Here's a summary of the changes for the commit message:

- Added a `serverHealthy` method to `NamingService`, `NacosNamingService`, and `NamingProxy` classes to check the health status of the server.
- Refactored the setup of interceptors in `EndpointMvcIntegrationTests`, `EndpointWebMvcAutoConfigurationTests`, and `HalBrowserMvcEndpointDisabledIntegrationTests` by removing unnecessary array wrapping.

Commit Message:
```
Add `serverHealthy` health check method and refactor interceptor setup

- Implemented `serverHealthy` method to `NamingService` interface and respective implementations to check server health.
- Optimized interceptor setup by directly passing the interceptor object instead of an array in multiple test classes.
```","Remove redundant array creation for calling varargs method

Closes gh-7551"
Annotate testQueryRewriteDatesWithNow with AwaitsFix due to issue #32827,"```markdown
test: annotate testQueryRewriteDatesWithNow with AwaitsFix for issue #32827
```","Annotate test for request cache with AwaitsFix for issue #32827

Original commit: elastic/elasticsearch@ba9a2b2c01cc4dfe6d068b4af821e003b9a1dbf1","Mute IndicesRequestCacheIT.testQueryRewriteDatesWithNow()

Signed-off-by: Mark Vieira <portugee@gmail.com>"
Refactored retry logic to re-add to cluster listener when handling specific exceptions,"fix: update URI creation logic and retryPrimary invocation for robust DNS and shard replication handling

- Remove unnecessary 'redis://' prefix during URI creation in DNSMonitor.
- Adjust retryPrimary to re-add to cluster listener after shard operation failure.","Corrected primary operation retry logic by not re-adding to cluster listener

Explanation:
- The commit message indicates that the primary operation retry logic in the TransportShardReplicationOperationAction file has been corrected.
- The ""false"" parameter in the retryPrimary method hints that the primary operation should not be re-added to the cluster listener after being marked as started, which is clarified by the added comment in the code.
- The message is succinct and describes the intent and consequence of the change.","when retrying on primary shard when node disconnected, add it again the the cluster service as a listener"
