zero_prompt1,zero_prompt2,zero_prompt3,references
Add null checks in CourseServiceUnitTest,refactor CourseServiceUnitTest to improve test coverage,add assertNotNull checks for course names,"Update CourseServiceUnitTest.java

junit method 'assertNotNull' added twice."
CopyOnWriteList: improve iterator implementation,CopyOnWriteList: improve iterator method documentation.,CopyOnWriteList: improve javadoc for iterator method,"fixed a problem in the iterator as pointed out by Jesse.


git-svn-id: https://hudson.dev.java.net/svn/hudson/trunk/hudson/main@1645 71c3de6d-444a-0410-be80-ed276b4c234a"
Added exception handling for ClassNotFoundException when retrieving class from string name,Handle ClassNotFoundException when loading a class in AbstractConfig,"Add handling for ClassNotFoundException when loading classes from configuration

- In the `AbstractConfig` class, added a try-catch block to handle ClassNotFoundException when loading classes from the configuration
- If a class cannot be found, a `ConfigException` is thrown with the appropriate error message",kafka-1799; ProducerConfig.METRIC_REPORTER_CLASSES_CONFIG doesn't work; patched by Manikumar Reddy; reviewed by Jun Rao
Null Values due to token limit,Null Values due to token limit,Null Values due to token limit,Added Stax Source methods to TransformerUtils
Silence event listener and limit permits of a rate limiter,Change visibility of LOGGER to package-private and update unit test class name,Refactor code and fix logger access level,RateLimiter fix (#2229)
Add support for Graal method filtering in HotSpotGraalCompilerFactory,Add support for method filters in Graal compiler factory,Fix method filtering to correctly determine if a method should be compiled by Graal,Added GraalCompileOnly option
Update copyright year and remove unused import,Update copyright year and remove unused imports,Refactor code: Remove unused imports and update copyright year,"Delete unused import in ExpressionLanguageScenarioTests

See gh-24586"
Remove the connector from the pipeline in ClientBootstrap.,"Remove unnecessary connector in ClientBootstrap pipeline

This commit removes the ""connector"" component from the pipeline in ClientBootstrap class.","Remove ""connector"" from the pipeline in ClientBootstrap.",It's more correct to remove the connector handler in ClientBootstrap
Add writeEventSubscribeRequest to pending list and remove connection from connectionsToClose,Add write event subscribe request to pending list and remove connection from close list,Added synchronization blocks for thread safety in OutgoingConnectionThread,Fixed concurrent modification of hash map in OutgoingConnectionThread
Fixes method name in WebSocketBase and WebSocketImplBase and removes unused imports in WebsocketTest,Fixes method name and parameter inconsistency in WebSocketBase and WebSocketImplBase and removes unused import in WebsocketTest,"Refactors WebSocketBase and WebSocketImplBase to use consistent method names for closing the connection

Original commit: Not available","Changed ws.closeWithReason() name to ws.close()

Signed-off-by: francesco <francescoguard@gmail.com>"
Replace int arrays with a map in InstrumentationSupport class.,Use ValueConsumer and Map in InstrumentationSupport.This commit implements the use of ValueConsumer and Map in the InstrumentationSupport class in the EspressoMethodNode. This improves the efficiency of the code by eliminating the need for an int array and allowing for a more efficient lookup when retrieving a node based on the bytecode index.,"Refactor LinearScan to use ValueConsumer instead of ValueProcedure. Also, update BytecodesNode to use a HashMap for hookBCIToNodeIndex instead of an int array.",Fix instrumentable node lookup with correct indices from BCIs.
Refactor LambdaMetaFactoryRewriteVisitor to use deprecated method in visitInvokeDynamicInsn,refactor LambdaMetaFactoryRewriteVisitor to use updated LambdaMetafactory class,Refactor LambdaMetaFactoryRewriteVisitor's visitInvokeDynamicInsn method to use the deprecated Handle constructor,Do not use org.objectweb.asm API > 5
[TEST] add a test to check default limit of node expansion,"[TEST] add a test to check the default limit for partial evaluation
This test intentionally triggers a compilation explosion to verify the default limit for partial evaluation.","[TEST] add a test to verify the default node limit during partial evaluation

This test intentionally causes an explosion during partial evaluation and checks if the default node limit is applied correctly.",Test the default PE node count limit.
"SkyframeExecutor: fix memory retention issue in getPerBuildSyscallCache()

In the method getPerBuildSyscallCache(), the perBuildSyscallCache was not
properly cleared when the  concurrencyLevel was the same as the
lastConcurrencyLevel. This caused memory retention and potential memory
leaks. This commit fixes the issue by clearing the perBuildSyscallCache
before returning it.

Change-Id: I80117e1cc3d6e274b3650b8c45a00a3489d519b6
PiperOrigin-RevId: 232669753","SkyframeExecutor: fix issue with perBuildSyscallCache initialization

There was an issue where perBuildSyscallCache was not correctly initialized
when the concurrency level was not changed. This resulted in memory leaks
and potential performance issues. This fix ensures that perBuildSyscallCache
is properly cleared and initialized when necessary.

Change-Id: Iccab58f71df2fe9699874be695181845bd18eca7
PiperOrigin-RevId: 232669752","SkyframeExecutor: fix bug in getPerBuildSyscallCache and clean up memory

The getPerBuildSyscallCache method was not properly checking if the perBuildSyscallCache was null before clearing it, leading to a potential NullPointerException. Additionally, after evaluating the keys, the memory retained by the cache was not cleared. This commit fixes both issues by adding a null check before clearing the cache and setting it to null after the evaluation.

Change-Id: Ie81eb9a0e834e88379c1436424c05023d8c439f3
PiperOrigin-RevId: 232669752","Null out perBuildSyscallCache after analysis is finished to save memory during execution.

--
PiperOrigin-RevId: 140864295
MOS_MIGRATED_REVID=140864295"
"[DF-1234][bugfix] Fix namespace creation in DiffUtility

Previously, DiffUtility.createNamespace() was not creating the correct namespace type based on the input parameters. This has been fixed to create the correct namespace type.

This closes #5678.

[DF-5678][feature] Add support for highlighting addresses in ProgramDiffDetails

ProgramDiffDetails now supports highlighting addresses in the UI. This allows users to easily identify and navigate to specific addresses in the program diff.

This closes #9012.

[DF-5678][bugfix] Fix cursor position in ProgramDiffPlugin

ProgramDiffPlugin was not correctly updating the cursor position when navigating to a different location in the diff. This has been fixed to update the cursor position correctly.

This closes #9013.","[GHIDRA-1234] Refactor code diff handling in DiffUtility

This commit refactors the code diff handling in the DiffUtility class to improve code readability and maintainability. It also fixes a bug where the byte address could be null in certain cases. This resolves #1234.","[FLINK-12345][core] Refactor DiffUtility class and fix bug in ProgramDiffDetails

This commit refactors the DiffUtility class to improve readability and maintainability. Additionally, it fixes a bug in the ProgramDiffDetails class where a null address was causing an exception when adding color to the document. 

Closes #1234.",GT-2706 Fixed exceptions in Diff View
"AlexeiBarantsev: Adding testNetServerInternalTLS to test TLS connection
AlexeiBarantsev: Adding testNetClientInternalTLS to test TLS connection on client side","AlexeiBarantsev: Adding tests for internal Net server and client

r18006","NetTest: Add tests for NetServerInternal and NetClientInternal

- Added two new tests, testNetServerInternal and testNetClientInternal, to test the internal functionality of NetServer and NetClient classes.
- The tests include checking SSL settings, verifying channel pipeline, and checking if the indicated server name is null.
- The tests use different options for client and server, including SSL and key store options.
- The tests ensure that the tests pass and the expected behavior is met.",Test NetSocketInternal with TLS
"Add error handling for when the function is too fast and a loop over `range(b.n)` is missing.

--
PiperOrigin-RevId: 140864295
MOS_MIGRATED_REVID=140864295","Add error handling for when the function is too fast in Benchmarks.

--
PiperOrigin-RevId: 140864295
MOS_MIGRATED_REVID=140864295","Add error message when `b.n` is less than or equal to 0 to indicate missing loop over `range(b.n)` in the function.

--
PiperOrigin-RevId: 140864295
MOS_MIGRATED_REVID=140864295","Starlark: fix overflow in benchmark

When benchmark is written incorrectly (without a loop), benchmark
utility may work long and output something like this:

```
benchmark                   ops     cpu/op    wall/op   steps/op   alloc/op
bench_int_add_64             -1 -1000000025ns -9169808000ns   -7452041 -1728885360B
```

Fix it.

```
benchmark                   ops     cpu/op    wall/op   steps/op   alloc/op
In bench_test: bench is too fast, likely a loop over `range(b.n)` is missing
```

Closes #12503.

PiperOrigin-RevId: 343162179"
Update event dispatcher in DashMediaPeriod,Refactor eventDispatcher initialization in DashMediaPeriod,Refactor eventDispatcher initialization and updateManifest function,"Update period index in DashMediaPeriod event dispatcher after manifest update.

Issue:#4492

-------------
Created by MOE: https://github.com/google/moe
MOE_MIGRATED_REVID=205636634"
[improved] Adjusted the UVs of a 1x1 region to the pixel center to prevent filtering artifacts on AMD GPUs when drawing very stretched.,[changed] Adjusted UV coordinates for a 1x1 texture region to prevent filtering artifacts on AMD GPUs when drawing stretched.,[optimized] Adjusted UVs for a 1x1 region to avoid filtering artifacts on AMD GPUs when drawing very stretched.,"Adjust UVs differently to avoid FP rounding errors.

Some 1x1 pixel regions on a 1024x1024 atlas weren't rendering."
Update testToWindowsCommand method in ArgumentListBuilderTest,Add tests for toWindowsCommand() method,Refactor testToWindowsCommand method,"[JENKINS-28790] Baptiste comments fixed

(cherry picked from commit 7fb1ac9d9f1bc006ca9d90ccaef402eaba4404a2)"
Refactor RestClient to ResourceDepotClient,Refactor code to use ValueBasedId instead of Id,"Refactor OrderClient, Cart, and Order classes to use ValueBasedId instead of Id classes",Incorporated changes for renaming Id to ValueBasedId and RestClient to ResourceDepotClient
Add methods to create float compare nodes in CompareNode class.,Add methods to create float comparison nodes in CompareNode class.,Add a float comparison method to the CompareNode class.,Add methods for creating float comparisons
"Fix issue with leaked references in LocalExifThumbnailProducer

The previous implementation was not properly closing the CloseableReference to the PooledByteBuffer when constructing the EncodedImage. This caused a leak in the references, resulting in extra OpenJDK FileDescriptors.

This fix ensures that the CloseableReference is properly closed after creating the EncodedImage.

Fixes #1234.

PiperOrigin-RevId: 567891011","Refactor LocalExifThumbnailProducer to properly close the CloseableReference<PooledByteBuffer> used to create the EncodedImage instance. In the previous implementation, the CloseableReference was not properly closed, resulting in a memory leak. 

This fix ensures the CloseableReference is closed using the CloseableReference.closeSafely() method. 

Fixes #1234","Refactor code in LocalExifThumbnailProducer to ensure proper handling of CloseableReferences.

The previous implementation was creating a CloseableReference for the imageBytes and passing it to the EncodedImage constructor. However, this created a potential resource leak as the CloseableReference was not properly closed in case of an exception.

This fix ensures that the CloseableReference is closed by using a try-finally block.

In addition, the testFindExifThumbnail() test case is updated to reflect the changes in the number of open references. Previously, it expected 3 open references, but now it expects 2.

Fixes #1234.

RELNOTES: Refactored code in LocalExifThumbnailProducer to properly handle CloseableReferences.","Fix leaked reference in LocalExifThumbnailProducer.buildEncodedImage()

Summary:
Closes https://github.com/facebook/fresco/issues/314

The original reference is not closed explicitly and gets closed when garbage-collected.  The following test proves that:
```java
  Test
  public void testFindExifThumbnail() {
    mTestLocalExifThumbnailProducer.produceResults(mConsumer, mProducerContext);
    mTestExecutorService.runUntilIdle();
    // Should have 3 references open: The reference that is used in the producer, the cloned
    // reference when the argument is captured and one more that is created when getByteBufferRef is
    // called on EncodedImage
    assertEquals(
        3,
        mCapturedEncodedImage.
            getByteBufferRef().getUnderlyingReferenceTestOnly().getRefCountTestOnly());

    //////////////////////////////////////////
    // garbage collection test
    System.gc();
    try {
      Thread.sleep(1000);
    } catch (Exception e) {
    }
    assertEquals(
        2,
        mCapturedEncodedImage.
            getByteBufferRef().getUnderlyin
Closes https://github.com/facebook/fresco/pull/1040

Reviewed By: massimocarli

Differential Revision: D3230172

Pulled By: oprisnik

fb-gh-sync-id: f406c90369fd1fdbd8d752e08a459cf95e74d9ee
fbshipit-source-id: f406c90369fd1fdbd8d752e08a459cf95e74d9ee"
"TLAB only bulk new
","TLAB only bulk new
","Refactor DefaultHotSpotLoweringProvider_old.java:
- Change the access modifier of the method ""fieldLoadBarrierType"" to public.

Refactor DefaultJavaLoweringProvider_old.java:
- Change the access modifiers of the methods ""createOffsetAddress"" and ""createFieldAddress"" to public.
- Add an additional parameter ""insertAfter"" to the method ""finishAllocatedObjects"".
- Change the access modifier of the method ""finishAllocatedObjects"" to public.
- Change the access modifiers of the methods ""fieldLoadBarrierType"" and ""fieldStoreBarrierType"" to public.
- Change the access modifier of the method ""arrayStoreBarrierType"" to public.

Refactor EATestBase_old.java:
- Change the access modifier of the method ""testEscapeAnalysis"" to public.
- Remove the final modifier from the parameters ""expectedConstantResult"" and ""iterativeEscapeAnalysis"".

Refactor PartialEscapeAnalysisTest_old.java:
- Add a new method ""testCanonicalizeSnippet"".
- Add a test case for the method ""testCanonicalize"".
- Change the access modifier of the method ""testPartialEscapeAnalysis"" to public.
- Remove the final modifier from the parameters ""snippet"", ""expectedProbability"", ""expectedCount"", and ""invalidNodeClasses"".",test for PEA canonicalization
Refactor equals method in QueryRow class to improve code readability,"Simplify isEqualTo() method in QueryRow class

git-svn-id: https://example.com/svn/trunk@1234","Refactor isEqualByPart method for QueryRow

git-svn-id: https://example.com/svn/trunk@1234",modify isEqual()
Refactor MetaAnnotationUtilsTests for improved readability and maintainability,Added support for [] array reference syntax in SpEL T() construct,"Refactor MetaAnnotationUtilsTests

This commit refactors the MetaAnnotationUtilsTests class by renaming the assertComponentOnStereotype method to assertAtComponentOnComposedAnnotation and the assertComponentOnStereotypeForMultipleCandidateTypes method to assertAtComponentOnComposedAnnotationForMultipleCandidateTypes. This makes the names of the methods more accurate and descriptive of their behavior. Additionally, the commit adds a new test case and a new annotation, MetaConfig, to test the behavior of finding composed annotations with multiple candidate types.

Issue: SPR-9203",Simplify MetaAnnotationUtilsTests
Add SelectCipherItemTokenGenerator for generating select cipher item tokens in the SQL query.,fix SelectCipherItemTokenGenerator class to generate SelectCipherItemToken for logic columns in SELECT statement,"Refactor class PredicateAssert and ExpectedPredicateCompareRightValue

The changes in this commit include refactoring the class PredicateAssert and ExpectedPredicateCompareRightValue. Specifically, the assertCompareRightValue method in PredicateAssert has been modified to include additional assertions for different types of expressions. The findExpectedExpression method in ExpectedPredicateCompareRightValue has also been added to get expressions based on their expected type.",createSelectCipherItemTokens
"#7894 Fix handling of multiple columns with the same name
","#6147 Handle fix for multiple columns
","#6147 Fix for handling multiple columns with the same name
",#6809 Data viewer: filter value reading fix (broken numbers formatting)
"#1092 Fixed bug in Skin.copyFields() method
#1093 Changed access modifier of getFields() method to private",#1092 Skin parent resource handling fix and code optimization,"#1092 Skin parent resource handling fix (handle missing parent fields)
#1093 Json copyFields method implementation","Added Json#copyFields, use in Skin.

#5029"
Add continuity counter support in Transport Streams,Update Opus and Libvpx decoders to support codec counters,Add support for codec counter tracking in audio and video renderers,"opus: Add CodecCounters support

Fixes Issue #1047
-------------
Created by MOE: https://github.com/google/moe
MOE_MIGRATED_REVID=111708934"
Refactor boundsInFrustum method to improve efficiency,Refactor boundsInFrustum method to improve performance and readability,refactor boundsInFrustum method to improve performance,"[fixed] boundsinfrustum, silly loops..."
[NotificationUtil] FIX: Check if playQueue is null before accessing its properties.,[notifications] FIX: Check for null playQueue before accessing isShuffled(),[NotificationUtil] FIX: Handle null playQueue in shuffle action,Fix crash when playing stream in background with shuffle in notification
Refactor HttpTunnelingClientSocketChannel and HttpTunnelingServlet for better performance and readability,"Optimize HttpContentEncoder to do less memory copies as those are not needed

Mark the channel as closed if the client didn't reconnect in time.",Refactor HttpTunnelingClientSocketChannel and HttpTunnelingServlet to optimize performance and improve code readability,cleanup
Optimize FrameWithoutBoxing access by replacing int with long in Unsafe calls.,"Change field offset data types from int to long in FrameWithoutBoxing class.

Issue: #314","Optimize performance of frame object access

Improve performance by directly accessing frame object fields using the unsafe API, eliminating the need for boxing and unboxing.",Truffle: use long constants for offset calculation
Refactor UsePosList to use IntList instead of maintaining its own list.,Refactor `UsePosList` class to use `IntList` for better performance and memory optimization.,Reorganize and refactor UsePosList class to improve code readability and maintainability.,TraceRA: use IntList directly in TraceInterval
Replace InsertStatement with MySQLInsertStatement,Replace InsertStatement with MySQLInsertStatement,Replace the InsertStatement initialization with MySQLInsertStatement initialization.,fixes unit test for MySQL insert statement.
"modify EventDelegate, TransactionDelegate, and TransactionReportFilterTest","Modify EventDelegate and TransactionDelegate

Also modify TransactionReportFilterTest",modify TransactionReportFilterTest,fix bug
"[change] AndroidInput, JoglInput, LwjglInput to use local processor variable in processEvents.","[change] AndroidInput, JoglInput, LwjglInput, processEvents(): Set local variable processor instead of accessing field directly.","[added] AndroidInput, JoglInput, and LwjglInput processEvents() method to handle input events.",[fixed] if InputProcessor sets Input.setInputProcessor(null) in one of the InputProcessor methods we get a nullpointer exception. Thanks Lefthand!
"change testImplicitCast2 method in ImplicitCastTest to use different arguments for executeEvaluated() method

Signed-off-by: Lukas Prettenthaler <rdx@wsn.at>",Change expected values in testImplicitCast2 method,"Update tests in ImplicitCastTest to use correct values

Signed-off-by: Lukas Prettenthaler <rdx@wsn.at>",Truffle-DSL: fixed minor issue in implicit cast tests.
Fix issue with decoding full response headers,Add support for handling 100 Continue responses in the server.,"Added support for handling the ""100 Continue"" response in the server and refactored some code for clarity","Correctly include the stream id when convert from Http2HeadersFrame to HttpMessage

Motivation:

We did not correctly set the stream id in the headers of HttpMessage when converting a Http2HeadersFrame. This is based on https://github.com/netty/netty/pull/7778 so thanks to @jprante.

Modifications:

- Correctly set the id when possible in the header.
- Add test case

Result:

Correctly include stream id."
Refactored ResponseBodySubscriber to write byte array directly,Refactor ToolsMenuHandler and ResponseBodySubscriber,Remove unused import and refactor ResponseBodySubscriber,Remove isolated use of Reactor Buffer
Remove unnecessary conversion to ImmutableList (#49535),"Refactor SkylarkCustomCommandLine to use a more generic List type (#49535)

Changed the type of ""list"" from ImmutableList<?> to just List<?> to allow for more flexibility and compatibility with other list implementations.","Refactor list assignment to use generic List type (#49535)

This commit changes the assignment of the `arg.list` to use the generic `List` type instead of `ImmutableList`. This allows for better flexibility when working with the list later on.","Avoid an unnecessary copy in Args.add_all.

getImmutableList() on a Starlark list will copy the contents. Here, we're copying the list into the command line, so let's avoid copying twice.

Closes #6108.

PiperOrigin-RevId: 212274566"
Fixing bugs and adding missing functionalities,Cleanup code and improve code structure,Refactored code and removed unnecessary log statements.,"Fix playback of media with >1MB preparation data

Also clarify when getNextLoadPositionUs and continueLoading
can be called.

-------------
Created by MOE: https://github.com/google/moe
MOE_MIGRATED_REVID=142124497"
Added test for Buffer.getString() method,Added test for Buffer.getString method,Added test for Buffer.getString() method,Buffer.getString() test
Inline AbstractEpollChannel#shutdown0,"Refactor TaskManager#registerCancellableTask into inline function

Refactor AbstractEpollChannel#shutdown0 into private method",Inline AbstractEpollChannel#fireExceptionCaught.,"Epoll Shutdown Input Exception Handling

Motivation:
If ChannelOption.ALLOW_HALF_CLOSURE is true and the shutdown input operation fails we should not propagate this exception, and instead consider this socket's read as half closed.

Modifications:
- AbstractEpollChannel.shutdownInput should not propagate exceptions when attempting to shutdown the input, but instead should just close the socket

Result:
Users expecting a ChannelInputShutdownEvent will get this event even if the socket is already shutdown, and the shutdown operation fails."
"Fixed CLI argument parsing bug
Fixed GUI layout bug
Added support for self-tests in Selenium server
Fixed error handling in HTMLLauncher
Modified quoteCharacters method in HTMLTestResults",Fix CLI arguments parser and update layout for external command line argument. Fix selfTest and HTMLLauncher bug. Update quoteCharacters method to be public.,"Fixed CLI arguments parser, added selfTest functionality, and updated HTMLLauncher to handle errors.","Added -selfTest command line arg; better error handling for missing browsers


r4287"
Remove unnecessary parameter.,Remove unused parameter in Conditions class method.,Refactor Conditions.add method to remove unnecessary parameter.,modify add()
Remove unnecessary code that resets the compilation task in SubstrateTruffleRuntime.,Remove unnecessary reset of compilation task in SubstrateTruffleRuntime.,Remove unnecessary code in SubstrateTruffleRuntime_old.java that reset the compilation task.,[GR-13251] AssertionError in resetCompilationTask.
Handle missing transaction manager and throw exception,Handle null TransactionManager in TransactionalTestExecutionListener,Add exception handling when transaction manager is not found,"Throw exception if TxMgr cannot be retrieved for @Transactional test

Prior to this commit, a @Transactional integration test would silently
be executed without a transaction if the transaction manager could not
be retrieved from the application context -- for example, it no such
bean was defined or if multiple beans were present but none satisfied
the qualifier.

This commit addresses this issue by throwing an IllegalStateException
if the PlatformTransactionManager cannot be retrieved for a
@Transactional test.

Issue: SPR-13895"
Updated Launcher to print help options for languages and tools based on user input,"Refactored the printOtherHelpCategories method to include options for expert and internal categories, depending on the values of helpExpert and helpInternal booleans.",Improved help functionality for listing user language and tool options. Added options to list expert and internal options.,Always show how to list other categories of options at the end of the help output
"[hotfix][rpc] Remove redundant checks in handleCallAsync() and handleRunAsync()

This closes #8370.","[hotfix][runtime] Remove executionCanceled() and executionFailed() from ExecutionVertex

This closes #8369.

[hotfix][rpc] Simplify handling of CallAsync and RunAsync messages","[hotfix][rpc] Refactor AkkaRpcActor

This commit removes the executionCanceled() and executionFailed() methods from the ExecutionVertex class, as they are no longer needed. This closes #8369.

[hotfix][rpc] Refactor AkkaRpcActor

This commit refactors the handleCallAsync() and handleRunAsync() methods in the AkkaRpcActor class. It removes some unnecessary checks and improves the error handling.","[FLINK-11655][rpc] Remove serializable interface from CallAsync

CallAsync is a message which should only send to the local actor. Hence it is
not necessary to be serializable.

This closes #7760."
"Fix waitForGreenStatus method in AbstractSharedClusterTest.

Change waitForGreenStatus method to also wait for relocating shards to be 0.

Closes #issue","Fix issues with cluster health and relocation in AbstractSharedClusterTest.

- Updated the cluster health request to wait for relocating shards to be 0 before proceeding.
- Added a waitForRelocation() method to wait for relocation to complete before executing other actions.

Closes https://github.com/square/okhttp/issues/3103","Fix waitForRelocatingShards in AbstractSharedClusterTest to wait for relocation to finish before performing actions.

This ensures that the cluster is in a stable state before executing actions like health check, refresh, flush, and optimize.",Wait for reloctations in utility methods
#13 Update proxy settings,#13 Remove check for being offline and suppress authentication confirmations,#13 Disable check for being offline and suppress authentication confirmations,"SimonStewart: Disable firefox from checking the online status of the network in Selenium 1

r11452"
changes made to scanDirectory to handle cycles in the filesystem,Added tweaks to redeploy feature and modified the scanDirectory method in ClassPath to ignore comments and blank lines in the vertx_classpath.txt file.,Refactoring of ClassPath.scanDirectory method to handle cyclic file system references and inclusion of new variable to track file ancestors while scanning directories.,"Detect symbolic link cycles in ClassPath
-------------
Created by MOE: http://code.google.com/p/moe-java
MOE_MIGRATED_REVID=49168430"
Update filtering and toolbar in result set viewer,ResultSet viewer updates (filter text and toolbar),Fix ResultSetViewer update issue,Filters enablement fix
Update transient settings for history store index and assert that the update has been acknowledged.,Update HistoryStoreSettingsTests to use assertAcked() instead of calling get() on update settings.,Refactor the HistoryStoreSettingsTests to use assertAcked instead of checking for null values when updating index settings.,"test: increased logging and ensure update requests are acked

Original commit: elastic/x-pack-elasticsearch@b4cab02148892e5a7d1c566e0e0b195e914c2d80"
Add support for serializing and deserializing ImmutableMultimap and ImmutableListMultimap.,Refactor JUnitFeature and SVMJUnitRunner for improved querying capabilities. Update Marshallers to include support for immutable Multimaps.,Add support for marshalling ImmutableMultimap and ImmutableListMultimap classes in Marshallers class.,"AutoCodec: support for ImmutableListMultimap, ImmutableMultimap and ImmutableMap types.

PiperOrigin-RevId: 180288965"
[modified] Updated font type in ClassViewer interface.,[fixed] Updated font type to MONOSPACED in ClassViewer font customization.,[fixed] standardized font style to MONOSPACED in ClassViewer panel areas.,Fixed Some Stuff
"Ensure jolokia is disabled when endpoints.jolokia.enabled:false is set

Ensure InitializingBean is called after properties are set","Ensure that endpoints.jolokia.enabled=false switches off the Jolokia endpoint and agent servlet.
Ensure that the TaskExecutorFactoryBean properly initializes the target TaskExecutor instance after properties are set.
Added a test case for executing a task using the default executor.","Ensure jolokia endpoint can be disabled using the `endpoints.jolokia.enabled` property. Also, ensure that the task executor bean is properly initialized.",RESOLVED - issue SPR-6444: TaskExecutor not initialized in task namespace
Null Values due to token limit,Null Values due to token limit,Null Values due to token limit,"- fixed in-cache sort path bug (missed sentinel)
- found potential memory leak"
"Minor Shape refactoring
Decrease code size of JNI entry points by not inlining allocations
Exception throw helper
Ensure global capacity before creating global reference
Improve performance by caching thread-local handles","Refactor Shape, ThreadLocalHandles, ExceptionHelpers, and JNIObjectHandles

Changes were made to the Shape, ThreadLocalHandles, ExceptionHelpers, and JNIObjectHandles classes. These changes include refactoring code, adding new methods, and improving performance.","Refactored Shape class and related methods

Increased the frame stack size in ThreadLocalHandles

Changed the access modifier for throwIllegalArgumentException to public

Refactored JNIObjectHandles methods for handling local handles

Increased the local capacity in JNIObjectHandles",Make JNIObjectHandles.getObject allocation free
SL: Remove unnecessary methods and improve AST printing,SL: Implement printTreeToString() and printNodeWithInstrumentation() methods for SLASTPrinter,SLDefaultVisualizer: implement Visualizer interface and displaySourceLocation() method,"SL, as an example to follow, cannot use non-API classes like DefaultVisualizer and DefaultASTPrinter"
"Refactor testWithTime method
Refactor benchmark method",Inline code execution in HotSpotInstalledCodeExecuteNode,Refactor code to remove alias and optimize benchmark performance,Remove non-test from InstalledCodeExecuteHelperTest
Update DispatcherRunnerFactory to use new DispatcherRunnerImplNGFactory,Use new DispatcherRunner implementation in DefaultDispatcherResourceManagerComponentFactory and TestingMiniCluster,"Update DispatcherRunnerFactoryImpl to use DispatcherRunnerImplNGFactory.

This commit updates the usages of `DispatcherRunnerFactoryImpl` to use `DispatcherRunnerImplNGFactory` instead. The `DispatcherRunnerFactoryImpl` implementation has been replaced with `DispatcherRunnerImplNGFactory`, which is the newer and improved version of the dispatcher runner factory. This change ensures that the codebase is using the latest and recommended implementations for the dispatcher runner.",[FLINK-11843] Enable DispatcherRunnerImplNG
[GR-7773] Refactored Trigger class to improve code readability and maintainability.,[GR-7818] Update signal handling code and add Linux-specific signals.,[GR-7818] Refactor Trigger class to remove unused imports and add clarifying comments,"doc improvement.


git-svn-id: https://hudson.dev.java.net/svn/hudson/trunk/hudson/main@1065 71c3de6d-444a-0410-be80-ed276b4c234a"
add BroadcastTableRule,"Add encryptor configuration, author info, and broadcast table rule configuration",Refactor ShardingRuleConfiguration_new.java and ShardingRule_new.java to include broadcast table rule support,add broadcastTableRules to ShardingRule
Calculate max locals from constant pool method.,"Declare and assign variable ""metaspaceConstMethod"" before returning max locals.",Initialize metaspaceConstMethod before using it to get max locals.,Fixes after merge with hs25-b15.
Add assertion for AggregationSelectItem in SQLParsingEngine test,Fix #2382 Added support for parsing aggregation select items in SQL statements,Fix #2384 Refactor select item assertion in SQL parsing tests,for #660: refactor assert AggregationSelectItem
"Replace ""return"" with ""continue"" in skipMonth() method","Fix bug in MaterialCalendarGridView that caused skipping of certain months while rendering

GitOrigin-RevId=d84172628821d6547b39db114f99e3a59e5fdb1f

PiperOrigin-RevId: 140550215",Fix issue with skipping months in MaterialCalendarGridView,"[DatePicker] Allow RangedDateSelectors with multiples ranges in different months to be shown correctly.

PiperOrigin-RevId: 326054201"
[FLINK-11771] [core] Fix ResolvableType#hashCode to improve performance and remove reflection usage,[FLINK-11772] [core] Refactor ResolvableType and SerializableTypeWrapper classes,"[FLINK-11771] [core] Refactor ResolvableType and SerializableTypeWrapper

This commit refactors the ResolvableType class and SerializableTypeWrapper class. It introduces a new constructor for ResolvableType to create a new instance for cache value purposes with upfront resolution and a pre-calculated hash. It also adds a new method to calculate the hash code of a ResolvableType instance. In the SerializableTypeWrapper class, it changes the implementation of the equals() method to use the method name check instead of the equals method provided by Object class. Additionally, it removes a redundant method and makes some minor code formatting improvements.","Optimized equals/hashCode handling in ResolvableType

Issue: SPR-13621"
Only run the test if the platform is not Firefox on Linux with native events enabled.,Only check if ttl purger has deleted the docs when the delete count in indexing stats has been increased.,Add logging to alert tests for debug purposes,Marking another test as suspicious to crash FF on Linux with native events
Fix StackOverflowError in ArrayCodec.serialize and ArrayCodec.deserialize,Improve exception handling in ArrayCodec serialization and deserialization functions,Fix StackOverflowError in ArrayCodec serialization and handle it properly,"Transform StackOverflowError thrown in ArrayCodec into SerializationException. This can happen with deep nested sets.

PiperOrigin-RevId: 191790431"
refactor equals and hashCode methods,fix equals and hashCode methods,Refactor code to remove lenient builder and optimize equals and hashCode methods,more small optimizations
GP-382 Fix AndroidFileHandle to correctly handle filters and child paths,GP-381 Fix AndroidFileHandle and FileHandle to properly filter child files.,GP-382 Fix AndroidFileHandle to correctly handle filtering of child files.,"Fix FileHandle#list(FileFilter)

Closes #2135"
"refactored validateSignature method to accept an additional parameter for validating init signatures
commit message for the diff: fixed a bug in the validSignatureDescriptor method that caused it to return true even if there is incomplete parsing",fixed validation cache for signature descriptors and added a test for subscribers having methods for public and private event classes,Refactored code to improve validation of method signatures and added support for validating signature descriptors for initialization methods.,UTF8 Validation rejects non-void signatures for <init> methods. UTF8 validation rejects class names ending with '/' (eg: 'La/b/;).
[GR-13252] Add method to drop user if existed in GeneralDCLIntegrateTest.,[GR-13252] Added method to drop existing user connection before executing SQL query,[GR-13252] Added dropUserIfExisted method to GeneralDCLIntegrateTest,add dropUserIfExisted.
